,name,id,price,promo_price,brand,url
0,"Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 4 кг",1050751,2169,2169,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=138270
1,"Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 3 кг",1044812,2745,2745,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-sterilizovannyh-koshek-bezzernovoy-s-kuricey.html?offer=124629
2,"N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 1,5кг",1043146,2880,2880,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-neutered-chicken-pomegranate-adult-300g.html?offer=119901
3,"Корм сухой для котят, беременных и кормящих кошек, с курицей, 1,5 кг (крупные гранулы)",1056876,1699,1699,Grandin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-sukhoy-dlya-kotyat-s-kuritsey.html?offer=155680
4,"Exigent Корм сухой для привередливых кошек, с ягненком, 1.5 кг",1039283,1199,1199,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-priveredlivyh-koshek-s-yagnenkom.html?offer=110852
5,"Indoor Корм сухой для домашних кошек, с индейкой, 1.5 кг",1039285,1199,1199,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-domashnih-koshek-s-indeykoy.html?offer=110855
6,"Adult Large Breed Brillant-Hairball Сухой корм для кошек крупных пород, с курицей, 1,5 кг",1056728,1008,1008,UNICA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-krupnyh-porod-s-kuricey-1-5-kg.html?offer=155319
7,"Monoprotein Sterilised корм для стерилизованных кошек, с уткой, 1,5 кг",1027904,1999,1999,Monge,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-monoprotein-sterilized-duck-korm-dlya-sterilizovannyh-koshek-s-u.html?offer=81113
8,"Sterilised 37 сухой корм для стерилизованных кошек с 1 до 7 лет, 2 кг",1000715,2129,2129,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sterilised_37_suhoy_korm_dlya_sterilizovannyh_koshek.html?offer=45708
9,"Сухой корм для стерилизованных кошек, четыре вида мяса, 2 кг",1040175,3155,3155,Grandorf,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112529
10,"Корм сухой для стерилизованных кошек, с ягненком, 1,5 кг",1054712,1499,1499,Mealfeel,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom1.html?offer=148716
11,"Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 8 кг",1054523,4299,4299,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-steril-s-yagnenkom.html?offer=148185
12,"Adult Sterilized Ultra Сухой корм для стерилизованных кошек, с индейкой, 1,5 кг",1042263,1695,1695,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-sterilizovannyh-koshek-s-indeykoy.html?offer=117421
13,"Корм сухой для стерилизованных кошек, с лососем, 1,5 кг",1054710,1499,1499,Mealfeel,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-lososem.html?offer=148712
14,"Adult Sterilized Grain Free Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг",1040784,1315,1315,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-gf-prime-dlya-sterilizovannyh-koshek-1-kg.html?offer=113385
15,"Sterilised Сухой корм для стерилизованных кошек старше 7 лет, 1,5 кг",1026803,1599,1599,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-royal-kanin-sterilayzd-7-pak-400-g.html?offer=77326
16,"Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг",1054707,1499,1499,Mealfeel,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy-i-lososem.html?offer=148706
17,"Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг",1043181,3595,3595,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-gastro-intestinal-400-gr.html?offer=120008
18,"Sterilized Grain free Корм сухой для кастрированных котов и стерилизованных кошек в возрасте от 1 года до 7 лет, с курицей, 1,5 кг",1056878,1699,1699,Grandin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-kuricey1.html?offer=155684
19,"N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг",1043142,2880,2880,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-lamb-blueberry-adult-300g.html?offer=119896
20,"Adult Chicken Корм сухой беззерновой для кошек, с курицей, 1 кг",1040786,880,880,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-koshek-bezzernovoy-s-kuricey.html?offer=113389
21,"Urinary S/O LP34 корм для кошек при заболеваниях дистального отдела мочевыделительной системы, 1,5 кг",1000862,2515,2515,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Urinary_SO_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42570
